entry	product	length	accession	identity	coverage	ortholog_source	tier	uniprot_name	uniprot_gene	uniprot_reviewed	annotation_class
STMMW_00041	conserved hypothetical protein	257	Q8ZS17	100.0	100.0	02_blast_hits	strong_ortholog	UPF0246 protein YaaA	yaaA STM0005	reviewed	CHARACTERIZED_reviewed
STMMW_00091	conserved hypothetical protein	237	Q7CRA1	100.0	100.0	02_blast_hits	strong_ortholog	Positive sigma H regulator	htgA STM0010	unreviewed	NAMED_function_unreviewed
STMMW_00151	conserved hypothetical protein	177	Q8ZS11	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	STM0016	unreviewed	TRULY_UNCHARACTERIZED
STMMW_00191	conserved hypothetical protein	234	Q8ZS07	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0020	unreviewed	GENERIC_localization_only
STMMW_00381	conserved hypothetical protein	417	Q8ZRZ5	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0037	unreviewed	GENERIC_localization_only
STMMW_00451	conserved hypothetical protein	71	Q7CR94	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	yaaY STM0044	unreviewed	GENERIC_localization_only
STMMW_00511	conserved hypothetical protein	400	Q8ZRY8	100.0	100.0	02_blast_hits	strong_ortholog	Nitrite reductase	STM0050	unreviewed	NAMED_function_unreviewed
STMMW_01061	hypothetical protein	139	Q8ZRV4	100.0	100.0	02_blast_hits	strong_ortholog	Cytoplasmic protein	STM0100	unreviewed	GENERIC_localization_only
STMMW_01121	hypothetical ABC transporter	235	Q8ZRV2	100.0	100.0	02_blast_hits	strong_ortholog	Thiamine import ATP-binding protein ThiQ (EC 7.6.2.15)	thiQ STM0106	reviewed	CHARACTERIZED_reviewed
STMMW_01251	conserved hypothetical protein	152	Q8ZRU9	100.0	100.0	02_blast_hits	strong_ortholog	Transcriptional regulator MraZ	mraZ STM0119	reviewed	CHARACTERIZED_reviewed
STMMW_01411	conserved hypothetical protein	142	Q8ZRT8	100.0	100.0	02_blast_hits	strong_ortholog	Secretion monitor	secM STM0135	reviewed	CHARACTERIZED_reviewed
STMMW_01441	conserved hypothetical protein	63	P67481	100.0	100.0	02_blast_hits	strong_ortholog	DNA gyrase inhibitor YacG	yacG STM0138	reviewed	CHARACTERIZED_reviewed
STMMW_01451	conserved hypothetical protein	247	P67693	100.0	100.0	02_blast_hits	strong_ortholog	Cell division protein ZapD (Z ring-associated protein D)	zapD STM0139	reviewed	CHARACTERIZED_reviewed
