entry	uniprot	len	Pfam_InterPro	Novelty_status	known_fold	mean_pLDDT	cons_pct95	macrophage_TPM	macrophage_pctile	InSPI2_TPM	expression_call	disco_patches	disco_biggest	bepipred_ge6	kt_mean	lowcomplex	SCORE_v2
STMMW_41241	Inner membrane protein	230	PF07356 DUF1481	DUF (function unknown)	no	88.4	99.6	70.04	71.9	144.99	expressed in macrophage	5	10	7	1.028	0.17	5
STMMW_26731	Outer membrane lipoprotein	107	PF10043 DUF2279 (periplasmic lipoprotein)	DUF (function unknown)	no	91.2	100.0	28.48	51.0	17.0	expressed in macrophage	2	7	3	1.02	0.23	5
STMMW_18431	Inner membrane protein	54	none	NO family assignment at all	no	70.1	99.3	5897.12	99.7	582.63	expressed in macrophage	0	3	0	1.087	0.2	4
STMMW_24311	Periplasmic protein	108	not checked		no	66.3	99.3	63.7	69.8	28.27	expressed in macrophage	2	8	1	0.97	0.28	4
STMMW_21841	Outer membrane protein	93	PF10836 DUF2574 / IPR020386 Uncharacterised_YehE	DUF (function unknown)	no	70.2	98.5	28.96	51.4	28.86	expressed in macrophage	1	4	3	1.056	0.23	4
STMMW_40621	Outer membrane lipoprotein	220	PF09601 DUF2459 + TIGR02117	DUF (function unknown)	no	88.3	99.6	6.78	23.7	4.64	low	3	10	7	1.025	0.17	4
STMMW_35161	Inner membrane protein	181	PF26610 YbbD_head (recently created InterPro entry)	recently classified	no	74.1	97.8	5.74	21.1	3.6	low	2	5	6	1.036	0.17	4
STMMW_31201	Inner membrane protein	49	not checked		no	76.9	0.4	321.29	91.2	26.03	expressed in macrophage	0	1	1	1.079	0.17	3
STMMW_04511	Inner membrane protein	237	PF06904 Extensin-like_C	functional hint: extensin-like	no	91.0	99.6	18.25	41.2	5.23	low	4	7	7	1.036	0.25	3
STMMW_35411	Outer membrane protein	138	not checked		no	61.0	99.6	36.96	57.0	21.31	expressed in macrophage	0	1	1	0.998	0.47	2
STMMW_43191	Inner membrane protein	212	PF06693 DUF1190 / IPR009576 Biofilm_formation_YgiB	functional hint: biofilm	no	67.7	98.2	4.95	18.6	2.21	low	3	4	5	1.004	0.23	2
STMMW_41461	Inner membrane protein	96	not checked		no	63.8	93.8	2.72	11.0	1.56	low	0	3	2	1.028	0.2	1
