entry	product	length	accession	identity	coverage	ortholog_source	tier	uniprot_name	uniprot_gene	uniprot_reviewed	annotation_class
A1S_0011	hypothetical protein	111	V5V8D5	100.0	100.0	02_blast_hits	strong_ortholog	Iron-sulfur cluster insertion protein ErpA	erpA ABUW_0011	unreviewed	NAMED_function_unreviewed
A1S_0013	hypothetical protein	375	A0ABX6C9Z8	99.7	100.0	02_blast_hits	strong_ortholog	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK FQU82_00002	unreviewed	NAMED_function_unreviewed
A1S_3477	hypothetical protein	387	H6VX65	100.0	100.0	02_blast_hits	strong_ortholog	FinQ	AUO97_06100 FJU42_19510 FPK87_19885	unreviewed	NAMED_function_unreviewed
A1S_0015	hypothetical protein	500	H6VX66	100.0	100.0	02_blast_hits	strong_ortholog	Zeta toxin	AUO97_06095 CBE85_17495 CPI82_16880 EJ062_16860 FJU42_19505 FPK87_19880 G3N53_14175 J6E47_20615 LV35_03005	unreviewed	NAMED_function_unreviewed
A1S_3478	hypothetical protein	75	H6VX69	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein		unreviewed	TRULY_UNCHARACTERIZED
A1S_3479	hypothetical protein	45					no_ortholog				NO_ORTHOLOG
A1S_0043	hypothetical protein	722	A0A7U3Y3V6	98.6	100.0	02_blast_hits	strong_ortholog	Phospholipase C, phosphocholine-specific	AB57_0084	unreviewed	NAMED_function_unreviewed
A1S_3480	hypothetical protein	55	A0ABX6CAG9	100.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	FQU82_00127	unreviewed	TRULY_UNCHARACTERIZED
A1S_3481	hypothetical protein	37					no_ortholog				NO_ORTHOLOG
A1S_3482	hypothetical protein	363	V5RCU9	99.4	100.0	02_blast_hits	strong_ortholog	Glycosyltransferase (Gtr7)	gtr7 CBE85_17065 GNY86_12950	unreviewed	NAMED_function_unreviewed
A1S_3483	hypothetical protein	346	A0ABX6CBE2	100.0	100.0	02_blast_hits	strong_ortholog	Wzy	wzy FQU82_00144	unreviewed	NAMED_function_unreviewed
A1S_0060	hypothetical protein	275	A0ABX6CAH0	99.6	100.0	02_blast_hits	strong_ortholog	Gtr9 (EC 2.4.1.303)	gtr9 FQU82_00146	unreviewed	NAMED_function_unreviewed
A1S_3484	hypothetical protein	67	V5RE03	92.4	98.5	02_blast_hits	strong_ortholog	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	ugd	unreviewed	NAMED_function_unreviewed
A1S_0066	hypothetical protein	456	V5RAW2	100.0	100.0	02_blast_hits	strong_ortholog	phosphomannomutase (EC 5.4.2.8)	pgm AUO97_06870	unreviewed	NAMED_function_unreviewed
A1S_0077	hypothetical protein	822					no_ortholog				NO_ORTHOLOG
A1S_0078	hypothetical membrane protein	74	A0ABX6CAW5	100.0	94.6	02_blast_hits	strong_ortholog	DUF4126 domain-containing protein	FQU82_00165	unreviewed	NAMED_function_unreviewed
A1S_3485	hypothetical protein	108	A0ABX6CAW5	99.1	100.0	02_blast_hits	strong_ortholog	DUF4126 domain-containing protein	FQU82_00165	unreviewed	NAMED_function_unreviewed
A1S_0079	hypothetical protein	169					no_ortholog				NO_ORTHOLOG
A1S_3486	hypothetical protein	78	A0ABX6CBM8	94.9	100.0	02_blast_hits	strong_ortholog	Lipoprotein	FQU82_00168	unreviewed	NAMED_function_unreviewed
A1S_0086	hypothetical protein	276					no_ortholog				NO_ORTHOLOG
A1S_0088	hypothetical protein	233	V5VHT8	99.6	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3796	unreviewed	TRULY_UNCHARACTERIZED
A1S_0090	hypothetical protein	124	A0ABX6CAL2	100.0	100.0	02_blast_hits	strong_ortholog	Regulator of ribonuclease activity B domain-containing protein	FQU82_00178	unreviewed	NAMED_function_unreviewed
A1S_0091	hypothetical protein	126	A0ABX6CAK8	98.4	100.0	02_blast_hits	strong_ortholog	SnoaL-like domain-containing protein	FQU82_00179	unreviewed	NAMED_function_unreviewed
A1S_0097	hypothetical protein	119	V5VHN1	99.2	100.0	02_blast_hits	strong_ortholog	Endoribonuclease L-PSP family protein	ABUW_3787	unreviewed	NAMED_function_unreviewed
A1S_0110	hypothetical protein	121	A0ABX6CAN3	98.3	100.0	02_blast_hits	strong_ortholog	DUF4902 domain-containing protein	FQU82_00197	unreviewed	NAMED_function_unreviewed
A1S_0117	hypothetical protein	424	A0ABX6CBL0	97.2	100.0	02_blast_hits	strong_ortholog	Porin	FQU82_00204	unreviewed	NAMED_function_unreviewed
A1S_0118	hypothetical protein	621	A0ABX6CCM6	99.2	100.0	02_blast_hits	strong_ortholog	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	menH_1 FQU82_00205	unreviewed	NAMED_function_unreviewed
A1S_0125	hypothetical protein	128	A0A7U3Y409	99.2	100.0	02_blast_hits	strong_ortholog	Lipoprotein	AB57_0165	unreviewed	NAMED_function_unreviewed
A1S_0129	hypothetical protein	409	V5VHT9	99.8	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3756	unreviewed	TRULY_UNCHARACTERIZED
A1S_0133	hypothetical protein	101	A0ABX6CB19	100.0	100.0	02_blast_hits	strong_ortholog	DUF3861 domain-containing protein	FQU82_00220	unreviewed	NAMED_function_unreviewed
A1S_0135	hypothetical protein	135	V5VHH9	100.0	100.0	02_blast_hits	strong_ortholog	OsmC family protein	ABUW_3750	unreviewed	NAMED_function_unreviewed
A1S_0137	hypothetical protein	208	A0ABX6CAR8	99.5	100.0	02_blast_hits	strong_ortholog	Cell division protein FtsN	ftsN FQU82_00224	unreviewed	NAMED_function_unreviewed
A1S_3487	hypothetical protein	57					no_ortholog				NO_ORTHOLOG
A1S_0157	hypothetical protein	160					no_ortholog				NO_ORTHOLOG
A1S_0158	hypothetical protein	199	V5VJ35	99.5	100.0	02_blast_hits	strong_ortholog	Lipoprotein, putative	ABUW_3730	unreviewed	NAMED_function_unreviewed
A1S_0167	hypothetical protein	384	A0A7U4DF81	99.0	100.0	02_blast_hits	strong_ortholog	Peptidoglycan-binding protein LysM	AB57_0203	unreviewed	NAMED_function_unreviewed
A1S_0169	hypothetical protein	100	V5VJ27	99.0	100.0	02_blast_hits	strong_ortholog	Uncharacterized protein	ABUW_3720	unreviewed	TRULY_UNCHARACTERIZED
A1S_0171	hypothetical protein	68	V5VHP0	98.5	100.0	02_blast_hits	strong_ortholog	DUF4199 domain-containing protein	ABUW_3718	unreviewed	NAMED_function_unreviewed
A1S_3488	hypothetical protein	30					no_ortholog				NO_ORTHOLOG
A1S_0172	hypothetical protein	404	A0A0D5YME3	99.0	100.0	02_blast_hits	strong_ortholog	ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase catalytic domain-containing protein	ABUW_3717	unreviewed	NAMED_function_unreviewed
